Frequency (MHz),Ground Data (Watts),Sky Data (Watts),Source Data (Watts),Original Receiver Temperature (Tr) (K),Corrected Receiver Temperature (Tr) (K),Source Temperature (Ts) (K),Brightness Temperature (K)
1419.499501,9.099132726322526e-08,3.7068072178257595e-08,3.872576449216173e-08,197.7897105869336,197.7897105869336,9.068800313170357,-0.03800190174402829
1419.50340725,9.332543007969923e-08,3.8018939632056126e-08,3.9810717055349696e-08,197.78971058693367,197.78971058693367,9.557184619624138,0.4503824047097531
1419.5073135,9.484184633008979e-08,3.837072454922792e-08,4.027170343254587e-08,195.44517241834538,195.44517241834538,9.93054065323787,0.8237384383234847
1419.51121975,9.682778562612486e-08,3.917418771077831e-08,4.1209751909733046e-08,195.44517241834546,195.44517241834546,10.415506757676326,1.3087045427619408
1419.515126,9.88553094656939e-08,3.99024902362142e-08,4.197589839910069e-08,194.67212380229842,194.67212380229842,10.375337703029686,1.268535488115301
1419.51903225,9.954054173515254e-08,3.9810717055349696e-08,4.2072662838444464e-08,191.62139633400523,191.62139633400523,11.171537997810162,2.0647357828957773
1419.5229385,1.01391138573668e-07,4.027170343254587e-08,4.2364296604954177e-08,189.376019430976,189.376019430976,10.100142195933216,0.9933399810188313
1419.52684475,1.025651926251408e-07,4.0457589169744286e-08,4.24619563946313e-08,187.16630720014584,187.16630720014584,9.520385563843433,0.41358334892904836
1419.530751,1.0495424286523221e-07,4.187935651179183e-08,4.3954161543782426e-08,190.86892478490728,190.86892478490728,9.70382223136329,0.597020016448905
1419.53465725,1.0616955571987242e-07,4.178303666466222e-08,4.4055486350655344e-08,186.43752445300004,186.43752445300004,10.411692807824267,1.3048905929098815
1419.5385635,1.0839269140212038e-07,4.2364296604954177e-08,4.456562483975033e-08,184.27413784406954,184.27413784406954,9.83503886865256,0.7282366537381755
1419.54246975,1.1117317272815919e-07,4.355118736855688e-08,4.602565735813563e-08,184.99146809137451,184.99146809137451,10.794841988798197,1.688039773883812
1419.546376,1.1246049739669257e-07,4.4360864393143274e-08,4.677351412871981e-08,187.16630720014615,187.16630720014615,10.451329039585005,1.34452682467062
1419.55028225,1.148153621496883e-07,4.539416166502032e-08,4.7643098680541564e-08,187.8989645481358,187.8989645481358,9.556683188232824,0.44988097331843946
1419.5541885,1.1641260294104908e-07,4.539416166502032e-08,4.797334486366892e-08,183.56056892508886,183.56056892508886,10.713541862233939,1.6067396473195537
1419.55809475,1.1830415557251635e-07,4.634469197362875e-08,4.897788193684456e-08,184.99146809137451,184.99146809137451,10.794841988798169,1.6880397738837836
1419.562001,1.1967405313072444e-07,4.645152752227492e-08,4.909078761526029e-08,182.14460482212348,182.14460482212348,10.633090308767493,1.5262880938531076
1419.56590725,1.2274392311584072e-07,4.797334486366892e-08,5.0466129756352864e-08,184.27413784406923,184.27413784406923,9.835038868652902,0.7282366537385165
1419.5698135,1.2473835142429433e-07,4.80839348449729e-08,5.058246620031137e-08,180.04818655280897,180.04818655280897,9.615450520872969,0.5086483059585838
1419.57371975,1.2735030810166605e-07,4.920395356814511e-08,5.1999599653351516e-08,180.74335794994144,180.74335794994144,10.553474951696273,1.4466727367818883
1419.577626,1.2852866599436168e-07,4.9659232145033576e-08,5.248074602497733e-08,180.7433579499405,180.7433579499405,10.55347495169704,1.4466727367826557
1419.58153225,1.3121998990192028e-07,5.0466129756352864e-08,5.308844442309879e-08,179.35661467189036,179.35661467189036,9.579515150057034,0.4727129351426491
1419.5854385,1.327394457729739e-07,5.069907082747044e-08,5.357966575133417e-08,177.3032367177585,177.3032367177585,10.358015831891038,1.2512136169766528
1419.58934475,1.342764961137864e-07,5.116818355403084e-08,5.407543229455804e-08,176.62580473025417,176.62580473025417,10.319525833698975,1.2127236187845902
1419.593251,1.3583134465871542e-07,5.1404365158242644e-08,5.445026528424209e-08,174.61423956422203,174.61423956422203,10.642812789065943,1.5360105741515575
1419.59715725,1.3740419750125163e-07,5.248074602497733e-08,5.546257129579105e-08,177.3032367177585,177.3032367177585,10.358015831890668,1.2512136169762833
1419.6010635,1.4028137045619575e-07,5.345643593969714e-08,5.636376558259538e-08,176.62580473025392,176.62580473025392,9.87806382384315,0.7712616089287643
1419.60496975,1.4190575216890925e-07,5.370317963702522e-08,5.701642722807478e-08,174.6142395642215,174.6142395642215,11.081400590740145,1.9745983758257601
1419.608876,1.4354894333536558e-07,5.4200089040162386e-08,5.74116462207328e-08,173.95054606991522,173.95054606991522,10.6034864771527,1.4966842622383147
1419.61278225,1.46554784095591e-07,5.546257129579105e-08,5.847900841444812e-08,174.61423956422203,174.61423956422203,9.768661037574333,0.6618588226599478
1419.6166885,1.4791083881682087e-07,5.571857489319304e-08,5.9020108017184416e-08,173.29022625052747,173.29022625052747,10.564360068045175,1.4575578531307904
1419.62059475,1.4893610777109138e-07,5.6234132519034905e-08,5.942921586155727e-08,173.95054606991545,173.95054606991545,10.167524300116668,1.0607220852022827
1419.624501,1.510080154164148e-07,5.610479760324712e-08,5.95662143529011e-08,169.3978304881195,169.3978304881195,10.759571326213177,1.6527691112987917
1419.62840725,1.534616982799294e-07,5.727960309858292e-08,6.067363295885046e-08,170.68220865040016,170.68220865040016,10.409825309909706,1.3030230949953214
1419.6323135,1.54170045294956e-07,5.7543993733715665e-08,6.095368972401694e-08,170.6822086503999,170.6822086503999,10.409825309910048,1.3030230949956625
1419.63621975,1.548816618912481e-07,5.727960309858292e-08,6.067363295885046e-08,168.12629593169822,168.12629593169822,10.258377960098613,1.1515757451842283
1419.640126,1.5523870099580817e-07,5.767664633922509e-08,6.151768727098678e-08,169.39783048811924,169.39783048811924,11.614219061480583,2.5074168465661977
1419.64403225,1.56675107010815e-07,5.727960309858292e-08,6.081350012787188e-08,165.00248752702865,165.00248752702865,10.48839819314955,1.3815959782351648
