Velocity,Brightness Temperature,Velocity Corrected
211.06116174697493,-0.23960363077680213,232.00982614195485
210.23670416636935,-0.1824757272480646,231.18536856134926
209.41224658573051,-0.621175195906492,230.36091098071043
208.58778900509168,-0.6211751959060088,229.5364534000716
207.76333142448613,0.4748934968486047,228.71199581946604
206.93887384384726,-1.0017264284740612,227.88753823882718
206.11441626320843,0.47489349684814997,227.06308065818834
205.28995868260287,0.9508740192673848,226.2386230775828
204.46550110196404,-1.0339606396325713,225.41416549694395
203.64104352132517,0.990898883806377,224.5897079163051
202.81658594071962,0.43691395386388976,223.76525033569953
201.99212836008078,-0.5194646635572759,222.9407927550607
201.16767077944195,-0.14713775003270158,222.11633517442186
200.34321319883637,-0.2176165493843918,221.29187759381628
199.51875561819753,1.2591529442547333,220.46742001317745
198.6942980375587,0.2134589672397702,219.6429624325386
197.86984045691986,0.17693811427630735,218.81850485189977
197.04538287631428,2.0084775645504145,217.9940472712942
196.22092529567544,0.6768976376307556,217.16958969065536
195.3964677150366,1.1377744236595184,216.34513211001652
194.57201013443105,1.057967910418423,215.52067452941097
193.7475525537922,0.6005590177957139,214.6962169487721
192.92309497315335,2.460094752737117,213.87175936813327
192.0986373925478,1.4715854877068715,213.04730178752772
191.27417981190897,-0.03800190174402829,212.22284420688888
190.4497222312701,0.4503824047097531,211.39838662625002
189.62526465066455,0.8237384383234847,210.57392904564446
188.8008070700257,1.3087045427619408,209.74947146500563
187.97634948938688,1.268535488115301,208.9250138843668
187.1518919087813,2.0647357828957773,208.1005563037612
186.32743432814246,0.9933399810188313,207.27609872312237
185.50297674750362,0.41358334892904836,206.45164114248354
184.67851916686476,0.597020016448905,205.62718356184467
183.8540615862592,1.3048905929098815,204.80272598123912
183.02960400562037,0.7282366537381755,203.97826840060029
182.20514642498154,1.688039773883812,203.15381081996145
181.38068884437598,1.34452682467062,202.3293532393559
180.55623126373712,0.44988097331843946,201.50489565871703
179.73177368309828,1.6067396473195537,200.6804380780782
178.90731610249273,1.6880397738837836,199.85598049747264
178.08285852185386,1.5262880938531076,199.03152291683378
177.25840094121503,0.7282366537385165,198.20706533619494
176.43394336060948,0.5086483059585838,197.3826077555894
175.60948577997064,1.4466727367818883,196.55815017495055
174.78502819933178,1.4466727367826557,195.7336925943117
173.96057061872622,0.4727129351426491,194.90923501370614
